check_ins_id,local_time,UTCTimeOffsetEpoch,pseudo_session_trajectory_id,query_pseudo_session_trajectory_id,user_id,latitude,longitude,POI_id,POI_catid,POI_catname,last_checkin_epoch_time,trajectory_id,POI_catid_code,kg_user_id
7566.0,2012-04-14 00:45:13,1334335513,2330,2330.0,0,40.76064468176889,-73.9860647444491,256,46,Bar,1334322680,1_4,46,u_0
7916.0,2012-04-14 13:45:23,1334382323,2330,2330.0,0,40.756730685866216,-73.9740697462571,355,258,Hotel,1334335513,1_4,258,u_0
8221.0,2012-04-14 18:07:43,1334398063,2330,2330.0,0,40.75730501775622,-73.96864018539301,4180,36,Bar,1334382323,1_4,36,u_0
8309.0,2012-04-14 19:15:07,1334402107,2330,2330.0,0,40.75881854506599,-73.96865740411552,212,129,Burger Joint,1334398063,1_4,129,u_0
13021.0,2012-04-19 18:51:19,1334832679,2331,2331.0,0,40.74131915864618,-74.00611595251165,1348,101,American Restaurant,1334818945,1_5,101,u_0
13235.0,2012-04-19 21:49:26,1334843366,2331,2331.0,0,40.73376270000001,-74.006264,199,96,Diner,1334832679,1_5,96,u_0
14313.0,2012-04-20 20:15:18,1334924118,2331,2331.0,0,40.77917988484352,-73.95085242398278,534,21,French Restaurant,1334843366,1_5,21,u_0
14939.0,2012-04-21 12:28:11,1334982491,2331,2331.0,0,40.725162932051184,-73.992159523528,4141,101,American Restaurant,1334924118,1_5,101,u_0
15045.0,2012-04-21 14:48:58,1334990938,2331,2331.0,0,40.729658,-73.998515,717,36,Bar,1334982491,1_5,36,u_0
15765.0,2012-04-22 13:33:27,1335072807,2331,2331.0,0,40.784018436922146,-73.97452399134636,3545,109,American Restaurant,1334990938,1_5,109,u_0
54007.0,2012-06-10 16:07:53,1339315673,2328,2328.0,0,40.71653437713537,-73.96144836446048,567,38,Beer Garden,1339314265,1_14,38,u_0
54153.0,2012-06-10 19:18:56,1339327136,2328,2328.0,0,40.717006,-73.956565,3478,132,Hot Dog Joint,1339315673,1_14,132,u_0
54810.0,2012-06-11 14:05:49,1339394749,2328,2328.0,0,40.720087,-74.003961,693,221,Coffee Shop,1339327136,1_14,221,u_0
61827.0,2012-07-04 15:47:05,1341388025,2329,2329.0,0,40.77469729150722,-73.98194979831838,727,146,Movie Theater,1341310357,1_18,146,u_0
61955.0,2012-07-04 21:00:14,1341406814,2329,2329.0,0,40.784018436922146,-73.97452399134636,3545,109,American Restaurant,1341388025,1_18,109,u_0
25189.0,2012-05-04 12:02:23,1336104143,3566,3566.0,1,40.72413519041223,-73.99778927450977,457,251,Food & Drink Shop,1336091273,2_9,251,u_1
25444.0,2012-05-04 15:59:06,1336118346,3566,3566.0,1,40.661441818125866,-73.84009838104248,1308,221,Coffee Shop,1336104143,2_9,221,u_1
25503.0,2012-05-04 16:45:17,1336121117,3566,3566.0,1,40.6523954512296,-73.86983119037849,1686,253,Department Store,1336118346,2_9,253,u_1
26308.0,2012-05-05 11:07:51,1336187271,3566,3566.0,1,40.646688839966046,-73.91399171283996,3544,136,Gym / Fitness Center,1336121117,2_9,136,u_1
30766.0,2012-05-10 18:17:53,1336645073,3555,3555.0,1,40.72212709991359,-73.99930899378225,798,253,Department Store,1336639401,2_10,253,u_1
31052.0,2012-05-10 22:56:54,1336661814,3555,3555.0,1,40.64609878277762,-73.90266895294191,2297,263,Subway,1336645073,2_10,263,u_1
31831.0,2012-05-11 15:54:39,1336722879,3555,3555.0,1,40.76590104372365,-73.9634343210755,344,221,Coffee Shop,1336661814,2_10,221,u_1
32709.0,2012-05-12 11:18:58,1336792738,3555,3555.0,1,40.646688839966046,-73.91399171283996,3544,136,Gym / Fitness Center,1336722879,2_10,136,u_1
38733.0,2012-05-17 09:08:04,1337216884,3556,3556.0,1,40.646688839966046,-73.91399171283996,3544,136,Gym / Fitness Center,1337145752,2_13,136,u_1
38860.0,2012-05-17 10:44:02,1337222642,3556,3556.0,1,40.75061379403183,-73.98856401443481,271,253,Department Store,1337216884,2_13,253,u_1
38947.0,2012-05-17 12:13:22,1337228002,3556,3556.0,1,40.773883557841096,-73.98221953946711,3824,253,Department Store,1337222642,2_13,253,u_1
47044.0,2012-05-31 11:57:11,1338436631,3557,3557.0,1,40.73512291106378,-73.99118391277206,1203,7,Clothing Store,1338433384,2_15,7,u_1
47045.0,2012-05-31 11:57:46,1338436666,3557,3557.0,1,40.73524837370153,-73.99113800155543,1386,14,Clothing Store,1338436631,2_15,14,u_1
47137.0,2012-05-31 14:10:16,1338444616,3557,3557.0,1,40.73709857380555,-73.99039768167009,939,221,Coffee Shop,1338436666,2_15,221,u_1
52301.0,2012-06-08 17:07:34,1339146454,3558,3558.0,1,40.65226882197668,-73.87008960234178,1686,253,Department Store,1339062156,2_17,253,u_1
52957.0,2012-06-09 11:22:39,1339212159,3558,3558.0,1,40.64662157754467,-73.91352093432137,3544,136,Gym / Fitness Center,1339146454,2_17,136,u_1
55793.0,2012-06-12 18:03:40,1339495420,3559,3559.0,1,40.7389820159766,-73.98967713117601,3888,50,Food & Drink Shop,1339471198,2_19,50,u_1
56509.0,2012-06-13 14:01:16,1339567276,3559,3559.0,1,40.75280620914171,-73.97717535495758,348,69,Train Station,1339495420,2_19,69,u_1
60191.0,2012-07-02 10:40:48,1341196848,3560,3560.0,1,40.64609878277762,-73.90266895294191,2297,263,Subway,1341193129,2_22,263,u_1
60300.0,2012-07-02 13:28:32,1341206912,3560,3560.0,1,40.75648987267385,-73.98626804351807,621,121,Plaza,1341196848,2_22,121,u_1
60325.0,2012-07-02 13:58:48,1341208728,3560,3560.0,1,40.757550338091605,-73.98486527831999,1209,221,Coffee Shop,1341206912,2_22,221,u_1
60911.0,2012-07-03 09:35:36,1341279336,3560,3560.0,1,40.64662157754467,-73.91352093432137,3544,136,Gym / Fitness Center,1341208728,2_22,136,u_1
61013.0,2012-07-03 12:35:21,1341290121,3560,3560.0,1,40.75280620914171,-73.97717535495758,348,69,Train Station,1341279336,2_22,69,u_1
62338.0,2012-07-05 10:10:50,1341454250,3561,3561.0,1,40.73710647765176,-73.99032307563172,995,196,Sandwich Place,1341445256,2_23,196,u_1
62426.0,2012-07-05 13:06:47,1341464807,3561,3561.0,1,40.678376105784395,-73.90339851379396,988,263,Subway,1341454250,2_23,263,u_1
63030.0,2012-07-06 10:10:22,1341540622,3561,3561.0,1,40.617409781499966,-73.95989861532688,4091,300,Neighborhood,1341464807,2_23,300,u_1
63111.0,2012-07-06 13:56:46,1341554206,3561,3561.0,1,40.75789582832253,-73.97765278816223,2653,256,Road,1341540622,2_23,256,u_1
63126.0,2012-07-06 14:18:35,1341555515,3561,3561.0,1,40.73887144343379,-73.98297136918099,1485,221,Coffee Shop,1341554206,2_23,221,u_1
44447.0,2012-05-27 13:43:30,1338097410,5036,5036.0,2,40.76393850093645,-73.97308830420383,437,57,Electronics Store,1338084188,3_17,57,u_2
44899.0,2012-05-27 23:16:53,1338131813,5036,5036.0,2,40.72639997828572,-73.9917348465147,4440,107,Gastropub,1338097410,3_17,107,u_2
45288.0,2012-05-28 13:20:09,1338182409,5036,5036.0,2,40.74195650925749,-74.00483627296967,284,259,Food & Drink Shop,1338131813,3_17,259,u_2
45391.0,2012-05-28 15:20:46,1338189646,5036,5036.0,2,40.71324018931097,-74.01618003845216,821,129,Burger Joint,1338182409,3_17,129,u_2
45487.0,2012-05-28 17:42:55,1338198175,5036,5036.0,2,40.701593743002,-73.9959239959717,374,120,Park,1338189646,3_17,120,u_2
12795.0,2012-04-19 14:58:06,1334818686,6473,6473.0,3,40.77693,-73.977499,1533,219,BBQ Joint,1334743946,4_5,219,u_3
13255.0,2012-04-19 22:10:07,1334844607,6473,6473.0,3,40.809270003135225,-73.94907116889955,4049,137,Gym / Fitness Center,1334818686,4_5,137,u_3
15541.0,2012-04-22 08:49:33,1335055773,6474,6474.0,3,40.81681580433025,-73.94139250202095,1883,82,Church,1334976029,4_6,82,u_3
16023.0,2012-04-22 19:59:10,1335095950,6474,6474.0,3,40.77308312955881,-73.98281335830687,381,309,Concert Hall,1335055773,4_6,309,u_3
18355.0,2012-04-24 19:15:48,1335266148,6475,6475.0,3,40.81681580433025,-73.94139250202095,1883,82,Church,1335182970,4_7,82,u_3
18706.0,2012-04-25 09:23:17,1335316997,6475,6475.0,3,40.75722129839836,-73.99154663085938,584,265,Bus Station,1335266148,4_7,265,u_3
50268.0,2012-06-06 13:38:20,1338961100,6468,6468.0,3,40.77693,-73.977499,1533,219,BBQ Joint,1338950873,4_19,219,u_3
50517.0,2012-06-06 18:46:51,1338979611,6468,6468.0,3,40.81681580433025,-73.94139250202095,1883,82,Church,1338961100,4_19,82,u_3
50723.0,2012-06-06 22:39:13,1338993553,6468,6468.0,3,40.809270003135225,-73.94907116889955,4049,137,Gym / Fitness Center,1338979611,4_19,137,u_3
51203.0,2012-06-07 11:19:42,1339039182,6468,6468.0,3,40.809865807665965,-73.95154697526135,983,137,Gym / Fitness Center,1338993553,4_19,137,u_3
51378.0,2012-06-07 14:39:37,1339051177,6468,6468.0,3,40.81967266642876,-73.9599445339987,978,41,Food & Drink Shop,1339039182,4_19,41,u_3
51569.0,2012-06-07 18:42:40,1339065760,6468,6468.0,3,40.81681580433025,-73.94139250202095,1883,82,Church,1339051177,4_19,82,u_3
54958.0,2012-06-11 19:09:14,1339412954,6469,6469.0,3,40.81681580433025,-73.94139250202095,1883,82,Church,1339393596,4_21,82,u_3
55579.0,2012-06-12 12:46:48,1339476408,6469,6469.0,3,40.809270003135225,-73.94907116889955,4049,137,Gym / Fitness Center,1339412954,4_21,137,u_3
